Temperature (C),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),
168.75,0.1,0.027406,36.489,47.041,50.69,138.73,26.911,35.611,515.9,30.788,14.942,0.030528,
169,0.1,0.02739,36.51,47.048,50.699,138.75,26.911,35.61,516.04,30.718,14.952,0.03055,
169.25,0.1,0.027374,36.531,47.055,50.708,138.77,26.911,35.608,516.19,30.648,14.962,0.030573,
169.5,0.1,0.027358,36.552,47.062,50.717,138.79,26.911,35.607,516.33,30.578,14.972,0.030596,
169.75,0.1,0.027342,36.574,47.068,50.726,138.81,26.911,35.606,516.48,30.508,14.982,0.030619,
170,0.1,0.027326,36.595,47.075,50.735,138.83,26.911,35.605,516.63,30.439,14.992,0.030642,
170.25,0.1,0.02731,36.616,47.082,50.743,138.85,26.912,35.604,516.77,30.37,15.002,0.030664,
170.5,0.1,0.027295,36.637,47.089,50.752,138.87,26.912,35.603,516.92,30.301,15.012,0.030687,
170.75,0.1,0.027279,36.659,47.095,50.761,138.89,26.912,35.602,517.06,30.232,15.022,0.03071,
171,0.1,0.027263,36.68,47.102,50.77,138.91,26.912,35.601,517.21,30.164,15.032,0.030733,
171.25,0.1,0.027247,36.701,47.109,50.779,138.93,26.912,35.6,517.35,30.095,15.042,0.030756,
171.5,0.1,0.027231,36.722,47.116,50.788,138.95,26.912,35.6,517.5,30.028,15.052,0.030779,
171.75,0.1,0.027216,36.744,47.123,50.797,138.97,26.913,35.599,517.65,29.96,15.062,0.030801,
172,0.1,0.0272,36.765,47.129,50.806,138.99,26.913,35.598,517.79,29.892,15.072,0.030824,
172.25,0.1,0.027184,36.786,47.136,50.815,139.01,26.913,35.597,517.94,29.825,15.082,0.030847,
172.5,0.1,0.027168,36.807,47.143,50.824,139.03,26.913,35.596,518.08,29.758,15.092,0.03087,
172.75,0.1,0.027153,36.829,47.15,50.832,139.05,26.914,35.595,518.23,29.691,15.102,0.030893,
173,0.1,0.027137,36.85,47.156,50.841,139.07,26.914,35.594,518.37,29.625,15.112,0.030916,
173.25,0.1,0.027122,36.871,47.163,50.85,139.09,26.914,35.594,518.52,29.559,15.123,0.030939,
173.5,0.1,0.027106,36.892,47.17,50.859,139.11,26.914,35.593,518.66,29.492,15.133,0.030962,
173.75,0.1,0.02709,36.914,47.177,50.868,139.13,26.915,35.592,518.81,29.427,15.143,0.030984,
174,0.1,0.027075,36.935,47.184,50.877,139.15,26.915,35.591,518.95,29.361,15.153,0.031007,
174.25,0.1,0.027059,36.956,47.19,50.886,139.17,26.915,35.591,519.1,29.296,15.163,0.03103,
174.5,0.1,0.027044,36.977,47.197,50.895,139.19,26.916,35.59,519.24,29.23,15.173,0.031053,
174.75,0.1,0.027028,36.998,47.204,50.904,139.21,26.916,35.589,519.39,29.165,15.183,0.031076,
175,0.1,0.027013,37.02,47.211,50.913,139.23,26.916,35.588,519.53,29.101,15.193,0.031099,
175.25,0.1,0.026997,37.041,47.217,50.921,139.25,26.917,35.588,519.68,29.036,15.203,0.031122,
175.5,0.1,0.026982,37.062,47.224,50.93,139.27,26.917,35.587,519.82,28.972,15.213,0.031145,
175.75,0.1,0.026966,37.083,47.231,50.939,139.29,26.918,35.586,519.96,28.908,15.223,0.031168,
176,0.1,0.026951,37.105,47.238,50.948,139.31,26.918,35.586,520.11,28.844,15.233,0.031191,
176.25,0.1,0.026935,37.126,47.244,50.957,139.33,26.918,35.585,520.25,28.78,15.243,0.031214,
176.5,0.1,0.02692,37.147,47.251,50.966,139.35,26.919,35.585,520.4,28.717,15.253,0.031237,
176.75,0.1,0.026905,37.168,47.258,50.975,139.37,26.919,35.584,520.54,28.654,15.263,0.03126,
177,0.1,0.026889,37.189,47.265,50.984,139.39,26.92,35.583,520.69,28.591,15.273,0.031283,
177.25,0.1,0.026874,37.211,47.272,50.993,139.41,26.92,35.583,520.83,28.528,15.284,0.031306,
177.5,0.1,0.026859,37.232,47.278,51.002,139.43,26.921,35.582,520.97,28.465,15.294,0.031329,
177.75,0.1,0.026843,37.253,47.285,51.01,139.45,26.921,35.582,521.12,28.403,15.304,0.031352,
178,0.1,0.026828,37.274,47.292,51.019,139.47,26.922,35.581,521.26,28.341,15.314,0.031375,
178.25,0.1,0.026813,37.296,47.299,51.028,139.49,26.922,35.581,521.41,28.279,15.324,0.031398,
178.5,0.1,0.026798,37.317,47.305,51.037,139.51,26.923,35.58,521.55,28.217,15.334,0.031422,
178.75,0.1,0.026782,37.338,47.312,51.046,139.52,26.923,35.58,521.69,28.156,15.344,0.031445,
179,0.1,0.026767,37.359,47.319,51.055,139.54,26.924,35.58,521.84,28.094,15.354,0.031468,
179.25,0.1,0.026752,37.38,47.326,51.064,139.56,26.924,35.579,521.98,28.033,15.364,0.031491,
179.5,0.1,0.026737,37.402,47.333,51.073,139.58,26.925,35.579,522.12,27.972,15.374,0.031514,
179.75,0.1,0.026722,37.423,47.339,51.082,139.6,26.926,35.578,522.27,27.912,15.384,0.031537,
180,0.1,0.026707,37.444,47.346,51.09,139.62,26.926,35.578,522.41,27.851,15.394,0.03156,
180.25,0.1,0.026691,37.465,47.353,51.099,139.64,26.927,35.578,522.55,27.791,15.404,0.031583,
180.5,0.1,0.026676,37.486,47.36,51.108,139.66,26.927,35.577,522.7,27.731,15.415,0.031606,
180.75,0.1,0.026661,37.508,47.366,51.117,139.68,26.928,35.577,522.84,27.671,15.425,0.03163,
181,0.1,0.026646,37.529,47.373,51.126,139.7,26.929,35.577,522.98,27.611,15.435,0.031653,
181.25,0.1,0.026631,37.55,47.38,51.135,139.72,26.929,35.576,523.13,27.552,15.445,0.031676,
181.5,0.1,0.026616,37.571,47.387,51.144,139.74,26.93,35.576,523.27,27.493,15.455,0.031699,
181.75,0.1,0.026601,37.592,47.393,51.153,139.76,26.931,35.576,523.41,27.433,15.465,0.031722,
182,0.1,0.026586,37.614,47.4,51.162,139.78,26.931,35.575,523.56,27.375,15.475,0.031745,
182.25,0.1,0.026571,37.635,47.407,51.171,139.8,26.932,35.575,523.7,27.316,15.485,0.031769,
182.5,0.1,0.026556,37.656,47.414,51.179,139.82,26.933,35.575,523.84,27.257,15.495,0.031792,
182.75,0.1,0.026541,37.677,47.421,51.188,139.84,26.933,35.575,523.98,27.199,15.505,0.031815,
183,0.1,0.026526,37.698,47.427,51.197,139.86,26.934,35.574,524.13,27.141,15.515,0.031838,
183.25,0.1,0.026511,37.72,47.434,51.206,139.88,26.935,35.574,524.27,27.083,15.526,0.031861,
183.5,0.1,0.026497,37.741,47.441,51.215,139.9,26.935,35.574,524.41,27.025,15.536,0.031885,
183.75,0.1,0.026482,37.762,47.448,51.224,139.92,26.936,35.574,524.55,26.968,15.546,0.031908,
184,0.1,0.026467,37.783,47.454,51.233,139.94,26.937,35.574,524.7,26.91,15.556,0.031931,
184.25,0.1,0.026452,37.804,47.461,51.242,139.96,26.938,35.573,524.84,26.853,15.566,0.031954,
184.5,0.1,0.026437,37.826,47.468,51.251,139.97,26.938,35.573,524.98,26.796,15.576,0.031978,
184.75,0.1,0.026422,37.847,47.475,51.259,139.99,26.939,35.573,525.12,26.739,15.586,0.032001,
185,0.1,0.026408,37.868,47.482,51.268,140.01,26.94,35.573,525.27,26.683,15.596,0.032024,
185.25,0.1,0.026393,37.889,47.488,51.277,140.03,26.941,35.573,525.41,26.626,15.606,0.032047,
185.5,0.1,0.026378,37.91,47.495,51.286,140.05,26.942,35.573,525.55,26.57,15.616,0.032071,
185.75,0.1,0.026363,37.931,47.502,51.295,140.07,26.942,35.573,525.69,26.514,15.627,0.032094,
186,0.1,0.026349,37.953,47.509,51.304,140.09,26.943,35.573,525.83,26.458,15.637,0.032117,
186.25,0.1,0.026334,37.974,47.515,51.313,140.11,26.944,35.573,525.98,26.402,15.647,0.032141,
186.5,0.1,0.026319,37.995,47.522,51.322,140.13,26.945,35.573,526.12,26.347,15.657,0.032164,
186.75,0.1,0.026305,38.016,47.529,51.331,140.15,26.946,35.573,526.26,26.292,15.667,0.032187,
187,0.1,0.02629,38.037,47.536,51.34,140.17,26.947,35.573,526.4,26.236,15.677,0.032211,
187.25,0.1,0.026275,38.058,47.543,51.348,140.19,26.947,35.573,526.54,26.181,15.687,0.032234,
187.5,0.1,0.026261,38.08,47.549,51.357,140.21,26.948,35.573,526.68,26.127,15.697,0.032257,
187.75,0.1,0.026246,38.101,47.556,51.366,140.23,26.949,35.573,526.83,26.072,15.707,0.032281,
188,0.1,0.026232,38.122,47.563,51.375,140.25,26.95,35.573,526.97,26.018,15.718,0.032304,
188.25,0.1,0.026217,38.143,47.57,51.384,140.27,26.951,35.573,527.11,25.963,15.728,0.032328,
188.5,0.1,0.026202,38.164,47.576,51.393,140.28,26.952,35.573,527.25,25.909,15.738,0.032351,
188.75,0.1,0.026188,38.185,47.583,51.402,140.3,26.953,35.573,527.39,25.855,15.748,0.032374,
189,0.1,0.026173,38.207,47.59,51.411,140.32,26.954,35.573,527.53,25.802,15.758,0.032398,
189.25,0.1,0.026159,38.228,47.597,51.42,140.34,26.955,35.573,527.67,25.748,15.768,0.032421,
189.5,0.1,0.026144,38.249,47.604,51.428,140.36,26.956,35.573,527.82,25.695,15.778,0.032445,
189.75,0.1,0.02613,38.27,47.61,51.437,140.38,26.956,35.573,527.96,25.641,15.788,0.032468,
190,0.1,0.026116,38.291,47.617,51.446,140.4,26.957,35.573,528.1,25.588,15.798,0.032491,
190.25,0.1,0.026101,38.312,47.624,51.455,140.42,26.958,35.574,528.24,25.535,15.809,0.032515,
190.5,0.1,0.026087,38.334,47.631,51.464,140.44,26.959,35.574,528.38,25.483,15.819,0.032538,
190.75,0.1,0.026072,38.355,47.637,51.473,140.46,26.96,35.574,528.52,25.43,15.829,0.032562,
191,0.1,0.026058,38.376,47.644,51.482,140.48,26.961,35.574,528.66,25.378,15.839,0.032585,
191.25,0.1,0.026044,38.397,47.651,51.491,140.5,26.962,35.574,528.8,25.325,15.849,0.032609,
191.5,0.1,0.026029,38.418,47.658,51.5,140.51,26.963,35.574,528.94,25.273,15.859,0.032632,
191.75,0.1,0.026015,38.439,47.665,51.508,140.53,26.964,35.575,529.08,25.222,15.869,0.032656,
192,0.1,0.026001,38.461,47.671,51.517,140.55,26.965,35.575,529.22,25.17,15.879,0.032679,
192.25,0.1,0.025986,38.482,47.678,51.526,140.57,26.966,35.575,529.36,25.118,15.89,0.032703,
192.5,0.1,0.025972,38.503,47.685,51.535,140.59,26.967,35.575,529.5,25.067,15.9,0.032726,
192.75,0.1,0.025958,38.524,47.692,51.544,140.61,26.968,35.576,529.65,25.016,15.91,0.03275,
193,0.1,0.025944,38.545,47.698,51.553,140.63,26.97,35.576,529.79,24.965,15.92,0.032773,
193.25,0.1,0.025929,38.566,47.705,51.562,140.65,26.971,35.576,529.93,24.914,15.93,0.032797,
193.5,0.1,0.025915,38.587,47.712,51.571,140.67,26.972,35.576,530.07,24.863,15.94,0.03282,
193.75,0.1,0.025901,38.609,47.719,51.58,140.69,26.973,35.577,530.21,24.812,15.95,0.032844,
194,0.1,0.025887,38.63,47.726,51.589,140.71,26.974,35.577,530.35,24.762,15.96,0.032868,
194.25,0.1,0.025873,38.651,47.732,51.597,140.72,26.975,35.577,530.49,24.712,15.971,0.032891,
194.5,0.1,0.025858,38.672,47.739,51.606,140.74,26.976,35.578,530.63,24.662,15.981,0.032915,
194.75,0.1,0.025844,38.693,47.746,51.615,140.76,26.977,35.578,530.77,24.612,15.991,0.032938,
195,0.1,0.02583,38.714,47.753,51.624,140.78,26.978,35.578,530.91,24.562,16.001,0.032962,
195.25,0.1,0.025816,38.735,47.759,51.633,140.8,26.979,35.579,531.05,24.512,16.011,0.032986,
195.5,0.1,0.025802,38.757,47.766,51.642,140.82,26.98,35.579,531.19,24.463,16.021,0.033009,
195.75,0.1,0.025788,38.778,47.773,51.651,140.84,26.982,35.579,531.33,24.413,16.031,0.033033,
196,0.1,0.025774,38.799,47.78,51.66,140.86,26.983,35.58,531.47,24.364,16.042,0.033056,
196.25,0.1,0.02576,38.82,47.787,51.669,140.88,26.984,35.58,531.61,24.315,16.052,0.03308,
196.5,0.1,0.025746,38.841,47.793,51.677,140.9,26.985,35.581,531.74,24.266,16.062,0.033104,
196.75,0.1,0.025732,38.862,47.8,51.686,140.91,26.986,35.581,531.88,24.218,16.072,0.033127,
197,0.1,0.025718,38.883,47.807,51.695,140.93,26.987,35.582,532.02,24.169,16.082,0.033151,
197.25,0.1,0.025704,38.905,47.814,51.704,140.95,26.989,35.582,532.16,24.121,16.092,0.033175,
197.5,0.1,0.02569,38.926,47.82,51.713,140.97,26.99,35.582,532.3,24.072,16.102,0.033198,
197.75,0.1,0.025676,38.947,47.827,51.722,140.99,26.991,35.583,532.44,24.024,16.113,0.033222,
198,0.1,0.025662,38.968,47.834,51.731,141.01,26.992,35.583,532.58,23.976,16.123,0.033246,
198.25,0.1,0.025648,38.989,47.841,51.74,141.03,26.993,35.584,532.72,23.928,16.133,0.033269,
198.5,0.1,0.025634,39.01,47.848,51.749,141.05,26.995,35.584,532.86,23.881,16.143,0.033293,
198.75,0.1,0.02562,39.031,47.854,51.758,141.07,26.996,35.585,533,23.833,16.153,0.033317,
199,0.1,0.025607,39.052,47.861,51.766,141.08,26.997,35.585,533.14,23.786,16.163,0.033341,
199.25,0.1,0.025593,39.074,47.868,51.775,141.1,26.998,35.586,533.28,23.739,16.174,0.033364,
199.5,0.1,0.025579,39.095,47.875,51.784,141.12,27,35.586,533.42,23.691,16.184,0.033388,
199.75,0.1,0.025565,39.116,47.882,51.793,141.14,27.001,35.587,533.55,23.644,16.194,0.033412,
200,0.1,0.025551,39.137,47.888,51.802,141.16,27.002,35.588,533.69,23.598,16.204,0.033436,
