Temperature (C),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),
67.25,0.1,54.36,0.018396,5.0713,5.0731,16.599,70.968,75.457,1554.1,-0.19668,419.26,0.6575,
67.5,0.1,54.352,0.018398,5.0901,5.092,16.654,70.945,75.46,1554.2,-0.19655,417.79,0.65771,
67.75,0.1,54.345,0.018401,5.109,5.1108,16.71,70.922,75.462,1554.3,-0.19641,416.33,0.65792,
68,0.1,54.337,0.018404,5.1279,5.1297,16.765,70.899,75.465,1554.3,-0.19627,414.87,0.65813,
68.25,0.1,54.329,0.018406,5.1467,5.1486,16.82,70.875,75.467,1554.4,-0.19614,413.43,0.65834,
68.5,0.1,54.321,0.018409,5.1656,5.1674,16.876,70.852,75.47,1554.5,-0.196,411.99,0.65854,
68.75,0.1,54.314,0.018412,5.1845,5.1863,16.931,70.829,75.472,1554.5,-0.19586,410.56,0.65875,
69,0.1,54.306,0.018414,5.2033,5.2052,16.986,70.805,75.475,1554.6,-0.19572,409.14,0.65895,
69.25,0.1,54.298,0.018417,5.2222,5.2241,17.041,70.782,75.477,1554.6,-0.19559,407.73,0.65915,
69.5,0.1,54.29,0.01842,5.2411,5.2429,17.096,70.759,75.48,1554.7,-0.19545,406.33,0.65936,
69.75,0.1,54.282,0.018422,5.2599,5.2618,17.151,70.735,75.483,1554.7,-0.19531,404.93,0.65956,
70,0.1,54.274,0.018425,5.2788,5.2807,17.206,70.712,75.485,1554.7,-0.19518,403.55,0.65976,
70.25,0.1,54.266,0.018428,5.2977,5.2995,17.261,70.688,75.488,1554.8,-0.19504,402.17,0.65996,
70.5,0.1,54.258,0.01843,5.3166,5.3184,17.316,70.665,75.491,1554.8,-0.1949,400.8,0.66015,
70.75,0.1,54.25,0.018433,5.3354,5.3373,17.371,70.642,75.493,1554.9,-0.19476,399.43,0.66035,
71,0.1,54.242,0.018436,5.3543,5.3562,17.426,70.618,75.496,1554.9,-0.19463,398.08,0.66055,
71.25,0.1,54.234,0.018439,5.3732,5.375,17.481,70.595,75.499,1554.9,-0.19449,396.73,0.66074,
71.5,0.1,54.226,0.018441,5.3921,5.3939,17.536,70.571,75.501,1554.9,-0.19435,395.39,0.66094,
71.75,0.1,54.218,0.018444,5.4109,5.4128,17.59,70.548,75.504,1555,-0.19421,394.06,0.66113,
72,0.1,54.21,0.018447,5.4298,5.4317,17.645,70.524,75.507,1555,-0.19408,392.74,0.66132,
72.25,0.1,54.202,0.018449,5.4487,5.4505,17.7,70.501,75.51,1555,-0.19394,391.42,0.66152,
72.5,0.1,54.194,0.018452,5.4676,5.4694,17.754,70.477,75.513,1555,-0.1938,390.11,0.66171,
72.75,0.1,54.186,0.018455,5.4864,5.4883,17.809,70.454,75.515,1555,-0.19367,388.81,0.6619,
73,0.1,54.178,0.018458,5.5053,5.5072,17.863,70.43,75.518,1555.1,-0.19353,387.51,0.66208,
73.25,0.1,54.17,0.018461,5.5242,5.526,17.918,70.407,75.521,1555.1,-0.19339,386.23,0.66227,
73.5,0.1,54.161,0.018463,5.5431,5.5449,17.972,70.383,75.524,1555.1,-0.19325,384.95,0.66246,
73.75,0.1,54.153,0.018466,5.562,5.5638,18.027,70.36,75.527,1555.1,-0.19312,383.67,0.66264,
74,0.1,54.145,0.018469,5.5808,5.5827,18.081,70.336,75.53,1555.1,-0.19298,382.41,0.66283,
74.25,0.1,54.137,0.018472,5.5997,5.6016,18.136,70.313,75.533,1555.1,-0.19284,381.15,0.66301,
74.5,0.1,54.129,0.018475,5.6186,5.6205,18.19,70.289,75.536,1555.1,-0.1927,379.9,0.6632,
74.75,0.1,54.12,0.018477,5.6375,5.6393,18.244,70.266,75.539,1555.1,-0.19256,378.65,0.66338,
75,0.1,54.112,0.01848,5.6564,5.6582,18.299,70.242,75.542,1555.1,-0.19243,377.42,0.66356,
75.25,0.1,54.104,0.018483,5.6753,5.6771,18.353,70.219,75.545,1555.1,-0.19229,376.18,0.66374,
75.5,0.1,54.095,0.018486,5.6941,5.696,18.407,70.195,75.548,1555,-0.19215,374.96,0.66392,
75.75,0.1,54.087,0.018489,5.713,5.7149,18.461,70.172,75.551,1555,-0.19201,373.74,0.6641,
76,0.1,54.079,0.018492,5.7319,5.7338,18.515,70.148,75.554,1555,-0.19188,372.53,0.66428,
76.25,0.1,54.07,0.018494,5.7508,5.7527,18.569,70.124,75.557,1555,-0.19174,371.33,0.66445,
76.5,0.1,54.062,0.018497,5.7697,5.7716,18.623,70.101,75.56,1555,-0.1916,370.13,0.66463,
76.75,0.1,54.054,0.0185,5.7886,5.7904,18.677,70.077,75.563,1555,-0.19146,368.94,0.6648,
77,0.1,54.045,0.018503,5.8075,5.8093,18.731,70.054,75.566,1554.9,-0.19132,367.76,0.66498,
77.25,0.1,54.037,0.018506,5.8264,5.8282,18.785,70.03,75.57,1554.9,-0.19118,366.58,0.66515,
77.5,0.1,54.028,0.018509,5.8453,5.8471,18.839,70.007,75.573,1554.9,-0.19105,365.41,0.66532,
77.75,0.1,54.02,0.018512,5.8642,5.866,18.893,69.983,75.576,1554.8,-0.19091,364.25,0.66549,
78,0.1,54.011,0.018515,5.8831,5.8849,18.947,69.959,75.579,1554.8,-0.19077,363.09,0.66566,
78.25,0.1,54.003,0.018518,5.902,5.9038,19.001,69.936,75.582,1554.8,-0.19063,361.94,0.66583,
78.5,0.1,53.994,0.018521,5.9208,5.9227,19.054,69.912,75.586,1554.7,-0.19049,360.79,0.666,
78.75,0.1,53.986,0.018523,5.9397,5.9416,19.108,69.888,75.589,1554.7,-0.19035,359.65,0.66617,
79,0.1,53.977,0.018526,5.9586,5.9605,19.162,69.865,75.592,1554.6,-0.19022,358.52,0.66634,
79.25,0.1,53.968,0.018529,5.9775,5.9794,19.215,69.841,75.596,1554.6,-0.19008,357.39,0.6665,
79.5,0.1,53.96,0.018532,5.9964,5.9983,19.269,69.818,75.599,1554.5,-0.18994,356.27,0.66667,
79.75,0.1,53.951,0.018535,6.0153,6.0172,19.323,69.794,75.602,1554.5,-0.1898,355.16,0.66683,
80,0.1,53.943,0.018538,6.0342,6.0361,19.376,69.77,75.606,1554.4,-0.18966,354.05,0.66699,
80.25,0.1,53.934,0.018541,6.0531,6.055,19.43,69.747,75.609,1554.4,-0.18952,352.95,0.66716,
80.5,0.1,53.925,0.018544,6.072,6.0739,19.483,69.723,75.613,1554.3,-0.18938,351.85,0.66732,
80.75,0.1,53.917,0.018547,6.0909,6.0928,19.537,69.699,75.616,1554.3,-0.18924,350.76,0.66748,
81,0.1,53.908,0.01855,6.1098,6.1117,19.59,69.676,75.619,1554.2,-0.1891,349.67,0.66764,
81.25,0.1,53.899,0.018553,6.1288,6.1306,19.643,69.652,75.623,1554.1,-0.18896,348.6,0.6678,
81.5,0.1,53.89,0.018556,6.1477,6.1495,19.697,69.628,75.626,1554.1,-0.18882,347.52,0.66795,
81.75,0.1,53.882,0.018559,6.1666,6.1684,19.75,69.605,75.63,1554,-0.18868,346.45,0.66811,
82,0.1,53.873,0.018562,6.1855,6.1873,19.803,69.581,75.633,1553.9,-0.18855,345.39,0.66827,
82.25,0.1,53.864,0.018565,6.2044,6.2062,19.856,69.558,75.637,1553.8,-0.18841,344.34,0.66842,
82.5,0.1,53.855,0.018568,6.2233,6.2251,19.91,69.534,75.641,1553.8,-0.18827,343.28,0.66857,
82.75,0.1,53.846,0.018571,6.2422,6.2441,19.963,69.51,75.644,1553.7,-0.18813,342.24,0.66873,
83,0.1,53.838,0.018574,6.2611,6.263,20.016,69.487,75.648,1553.6,-0.18799,341.2,0.66888,
83.25,0.1,53.829,0.018577,6.28,6.2819,20.069,69.463,75.651,1553.5,-0.18785,340.17,0.66903,
83.5,0.1,53.82,0.018581,6.2989,6.3008,20.122,69.439,75.655,1553.4,-0.18771,339.14,0.66918,
